date|close_price
05/01/2015|544.45
06/01/2015|549.66
07/01/2015|552.05
08/01/2015|553.47
09/01/2015|569.73
12/01/2015|574.32
13/01/2015|580.60
14/01/2015|577.01
15/01/2015|577.74
16/01/2015|574.81
19/01/2015|571.51
20/01/2015|572.22
21/01/2015|569.12
22/01/2015|574.54
23/01/2015|582.38
26/01/2015|580.64
27/01/2015|579.30
28/01/2015|583.76
29/01/2015|583.28
30/01/2015|576.07
02/02/2015|570.37
03/02/2015|557.47
04/02/2015|561.45
05/02/2015|567.17
06/02/2015|574.13
09/02/2015|573.55
10/02/2015|574.52
11/02/2015|581.76
12/02/2015|584.67
13/02/2015|587.24
24/02/2015|596.95
25/02/2015|592.66
26/02/2015|596.72
27/02/2015|592.57
02/03/2015|590.73
03/03/2015|596.72
04/03/2015|600.39
05/03/2015|596.91
06/03/2015|593.97
09/03/2015|588.44
10/03/2015|589.66
11/03/2015|586.54
12/03/2015|588.53
13/03/2015|586.10
16/03/2015|580.80
17/03/2015|581.76
18/03/2015|578.68
19/03/2015|573.74
20/03/2015|575.44
23/03/2015|570.89
24/03/2015|567.43
25/03/2015|560.93
26/03/2015|556.16
27/03/2015|551.42
30/03/2015|545.19
31/03/2015|551.13
01/04/2015|538.91
02/04/2015|546.85
03/04/2015|547.85
06/04/2015|542.97
07/04/2015|548.11
08/04/2015|547.72
09/04/2015|550.52
10/04/2015|554.03
13/04/2015|559.54
14/04/2015|558.67
15/04/2015|564.50
16/04/2015|568.28
17/04/2015|568.32
20/04/2015|565.04
21/04/2015|562.24
22/04/2015|562.51
23/04/2015|561.25
24/04/2015|565.77
27/04/2015|562.40
04/05/2015|545.08
05/05/2015|552.65
06/05/2015|549.30
07/05/2015|552.98
08/05/2015|554.51
11/05/2015|551.67
12/05/2015|544.41
13/05/2015|542.82
14/05/2015|543.69
15/05/2015|537.44
18/05/2015|528.95
19/05/2015|536.82
20/05/2015|550.10
21/05/2015|552.56
22/05/2015|561.82
25/05/2015|563.00
26/05/2015|567.20
27/05/2015|566.48
28/05/2015|572.97
29/05/2015|569.56
01/06/2015|574.98
02/06/2015|570.31
03/06/2015|567.90
04/06/2015|568.99
05/06/2015|578.07
08/06/2015|579.83
09/06/2015|574.47
10/06/2015|574.10
11/06/2015|581.05
12/06/2015|582.73
15/06/2015|586.48
16/06/2015|580.35
17/06/2015|578.87
18/06/2015|580.35
19/06/2015|584.70
22/06/2015|594.08
23/06/2015|593.07
24/06/2015|590.02
25/06/2015|587.99
26/06/2015|581.75
29/06/2015|591.75
30/06/2015|593.05
01/07/2015|591.50
02/07/2015|605.70
03/07/2015|616.43
06/07/2015|625.22
07/07/2015|630.27
08/07/2015|623.17
09/07/2015|622.10
10/07/2015|627.28
13/07/2015|634.06
14/07/2015|638.69
15/07/2015|630.89
16/07/2015|626.90
17/07/2015|628.63
20/07/2015|620.54
21/07/2015|616.61
22/07/2015|629.85
23/07/2015|632.01
24/07/2015|631.26
27/07/2015|635.46
28/07/2015|631.47
29/07/2015|624.70
30/07/2015|626.57
31/07/2015|621.06
03/08/2015|609.47
04/08/2015|600.76
05/08/2015|607.08
06/08/2015|601.04
07/08/2015|603.76
10/08/2015|614.53
11/08/2015|613.05
12/08/2015|604.24
13/08/2015|594.26
14/08/2015|589.03
17/08/2015|573.15
18/08/2015|580.22
19/08/2015|577.82
20/08/2015|566.69
21/08/2015|556.30
24/08/2015|526.93
25/08/2015|529.98
26/08/2015|545.89
27/08/2015|555.81
