date, close_price
21/07/2017,761.86
20/07/2017,768.41
19/07/2017,771.30
18/07/2017,767.49
17/07/2017,768.91
14/07/2017,777.60
13/07/2017,778.30
12/07/2017,774.17
11/07/2017,769.36
10/07/2017,766.56
07/07/2017,775.73
06/07/2017,782.65
05/07/2017,778.32
04/07/2017,775.54
03/07/2017,778.88
30/06/2017,776.47
29/06/2017,771.75
28/06/2017,769.04
27/06/2017,767.51
26/06/2017,772.52
23/06/2017,769.01
22/06/2017,766.30
21/06/2017,767.41
20/06/2017,767.99
19/06/2017,766.83
16/06/2017,761.24
15/06/2017,760.57
14/06/2017,760.77
13/06/2017,756.89
12/06/2017,751.09
09/06/2017,749.72
08/06/2017,750.13
07/06/2017,753.46
06/06/2017,751.31
05/06/2017,743.49
02/06/2017,738.81
01/06/2017,741.80
31/05/2017,737.82
30/05/2017,738.21
29/05/2017,746.25
26/05/2017,743.41
25/05/2017,741.91
24/05/2017,742.74
23/05/2017,740.93
22/05/2017,744.10
19/05/2017,733.82
18/05/2017,726.99
17/05/2017,727.20
16/05/2017,725.03
15/05/2017,725.35
12/05/2017,725.37
11/05/2017,724.99
10/05/2017,724.31
09/05/2017,722.11
08/05/2017,718.86
05/05/2017,720.00
04/05/2017,722.02
03/05/2017,719.54
28/04/2017,717.73
27/04/2017,716.53
26/04/2017,710.04
25/04/2017,707.58
24/04/2017,709.39
21/04/2017,712.41
20/04/2017,712.66
19/04/2017,716.77
18/04/2017,714.93
17/04/2017,710.83
14/04/2017,718.45
13/04/2017,724.35
12/04/2017,725.58
11/04/2017,731.33
10/04/2017,729.87
07/04/2017,727.95
05/04/2017,723.22
04/04/2017,724.14
03/04/2017,722.38
31/03/2017,722.31
30/03/2017,723.86
29/03/2017,720.47
28/03/2017,719.26
27/03/2017,723.52
24/03/2017,722.14
23/03/2017,719.56
22/03/2017,712.94
21/03/2017,716.18
20/03/2017,715.07
17/03/2017,710.54
16/03/2017,714.92
15/03/2017,713.14
14/03/2017,714.71
13/03/2017,710.17
10/03/2017,712.21
09/03/2017,715.80
08/03/2017,716.60
07/03/2017,716.54
06/03/2017,716.29
03/03/2017,712.62
02/03/2017,707.51
01/03/2017,709.52
28/02/2017,710.79
27/02/2017,717.44
24/02/2017,714.47
23/02/2017,716.87
22/02/2017,717.24
21/02/2017,716.55
20/02/2017,710.59
17/02/2017,707.83
16/02/2017,709.35
15/02/2017,711.57
14/02/2017,706.26
13/02/2017,705.90
10/02/2017,703.78
09/02/2017,700.65
08/02/2017,702.04
07/02/2017,701.91
06/02/2017,700.04
03/02/2017,700.35
02/02/2017,703.18
25/01/2017,697.28
24/01/2017,691.36
23/01/2017,687.15
20/01/2017,686.26
19/01/2017,682.31
18/01/2017,683.28
17/01/2017,684.71
16/01/2017,677.94
13/01/2017,685.06
12/01/2017,686.96
11/01/2017,687.16
10/01/2017,681.07
09/01/2017,682.57
06/01/2017,679.80
05/01/2017,675.81
04/01/2017,674.70
03/01/2017,672.01
30/12/2016,664.87
29/12/2016,664.72
28/12/2016,663.50
27/12/2016,663.86
26/12/2016,662.45
23/12/2016,664.37
22/12/2016,664.15
21/12/2016,666.94
20/12/2016,662.66
19/12/2016,674.33
16/12/2016,675.16
15/12/2016,665.92
14/12/2016,665.14
13/12/2016,654.66
12/12/2016,659.70
09/12/2016,663.07
08/12/2016,658.89
07/12/2016,653.53
06/12/2016,651.49
05/12/2016,660.21
02/12/2016,665.14
01/12/2016,666.54
30/11/2016,665.07
29/11/2016,658.26
28/11/2016,665.29
25/11/2016,675.87
24/11/2016,678.18
23/11/2016,683.16
22/11/2016,681.91
21/11/2016,674.29
18/11/2016,673.25
17/11/2016,674.57
16/11/2016,674.60
15/11/2016,674.26
14/11/2016,673.05
11/11/2016,679.20
10/11/2016,678.17
09/11/2016,670.26
08/11/2016,676.46
07/11/2016,674.14
04/11/2016,666.73
03/11/2016,667.63
02/11/2016,671.40
01/11/2016,676.60
31/10/2016,675.80
28/10/2016,682.25
27/10/2016,676.90
26/10/2016,673.61
25/10/2016,676.18
24/10/2016,678.02
21/10/2016,684.83
20/10/2016,686.39
19/10/2016,688.89
18/10/2016,682.02
17/10/2016,680.95
14/10/2016,687.00
13/10/2016,685.23
12/10/2016,682.45
11/10/2016,682.36
10/10/2016,674.19
07/10/2016,683.95
06/10/2016,687.32
05/10/2016,687.04
04/10/2016,684.20
03/10/2016,683.05
30/09/2016,685.73
29/09/2016,688.55
28/09/2016,686.72
27/09/2016,684.89
26/09/2016,677.04
23/09/2016,674.09
22/09/2016,671.38
21/09/2016,668.48
20/09/2016,663.37
19/09/2016,657.89
16/09/2016,651.31
15/09/2016,656.18
14/09/2016,656.64
13/09/2016,659.72
12/09/2016,659.76
09/09/2016,666.88
08/09/2016,666.07
07/09/2016,661.28
06/09/2016,663.90
05/09/2016,664.55
01/09/2016,669.19
31/08/2016,674.63
30/08/2016,672.67
29/08/2016,669.44
26/08/2016,667.75
25/08/2016,658.50
24/08/2016,660.77
23/08/2016,659.16
22/08/2016,657.68
19/08/2016,662.28
18/08/2016,660.65
17/08/2016,660.51
16/08/2016,658.11
15/08/2016,659.47
12/08/2016,655.71
11/08/2016,660.24
10/08/2016,648.33
09/08/2016,637.34
08/08/2016,629.46
05/08/2016,627.39
04/08/2016,631.94
03/08/2016,631.61
02/08/2016,636.05
01/08/2016,648.38
29/07/2016,652.23
28/07/2016,657.14
27/07/2016,656.11
26/07/2016,648.59
25/07/2016,649.30
22/07/2016,649.87
21/07/2016,659.57
20/07/2016,660.26
19/07/2016,667.76
18/07/2016,673.50
15/07/2016,664.56
14/07/2016,666.69
13/07/2016,675.12
12/07/2016,658.90
11/07/2016,652.26
08/07/2016,658.68
07/07/2016,661.12
06/07/2016,649.46
05/07/2016,650.88
04/07/2016,647.96
01/07/2016,640.30
30/06/2016,632.26
29/06/2016,630.12
28/06/2016,622.20
27/06/2016,621.27
24/06/2016,620.77
23/06/2016,632.27
22/06/2016,626.41
