date,close_price
16/07/2009,433.50
17/07/2009,428.70
20/07/2009,412.90
21/07/2009,416.40
22/07/2009,419.50
23/07/2009,434.20
24/07/2009,454.70
27/07/2009,469.70
28/07/2009,463.00
29/07/2009,458.00
30/07/2009,451.90
31/07/2009,466.80
03/08/2009,467.90
04/08/2009,476.60
05/08/2009,481.30
06/08/2009,481.40
07/08/2009,480.70
10/08/2009,491.20
11/08/2009,494.20
12/08/2009,497.20
13/08/2009,503.60
14/08/2009,507.00
17/08/2009,500.10
18/08/2009,499.70
19/08/2009,508.50
20/08/2009,513.90
21/08/2009,519.20
24/08/2009,528.20
25/08/2009,528.90
26/08/2009,526.00
27/08/2009,527.00
28/08/2009,536.50
31/08/2009,546.80
01/09/2009,547.70
03/09/2009,540.80
04/09/2009,528.50
07/09/2009,524.50
08/09/2009,537.80
09/09/2009,536.10
10/09/2009,540.20
11/09/2009,548.00
14/09/2009,556.60
15/09/2009,556.80
16/09/2009,557.00
17/09/2009,561.20
18/09/2009,571.00
21/09/2009,578.00
22/09/2009,582.90
23/09/2009,582.10
24/09/2009,574.80
25/09/2009,582.80
28/09/2009,582.00
29/09/2009,582.60
30/09/2009,580.90
01/10/2009,569.00
02/10/2009,549.70
05/10/2009,549.00
06/10/2009,552.00
07/10/2009,566.40
08/10/2009,571.80
09/10/2009,582.00
12/10/2009,594.30
13/10/2009,589.90
14/10/2009,605.70
15/10/2009,617.40
16/10/2009,609.50
19/10/2009,607.10
20/10/2009,616.60
21/10/2009,618.50
22/10/2009,624.10
23/10/2009,615.20
26/10/2009,609.30
27/10/2009,596.80
28/10/2009,599.90
29/10/2009,581.50
30/10/2009,587.10
02/11/2009,561.70
03/11/2009,539.70
04/11/2009,537.50
05/11/2009,555.50
06/11/2009,554.90
09/11/2009,534.10
10/11/2009,524.40
11/11/2009,537.60
12/11/2009,546.00
13/11/2009,548.20
16/11/2009,545.70
17/11/2009,547.10
18/11/2009,553.80
19/11/2009,560.10
20/11/2009,555.80
23/11/2009,537.00
24/11/2009,527.10
25/11/2009,503.40
26/11/2009,482.60
27/11/2009,490.60
30/11/2009,504.10
01/12/2009,514.90
02/12/2009,499.10
03/12/2009,494.80
04/12/2009,495.00
07/12/2009,498.60
08/12/2009,488.50
09/12/2009,470.60
10/12/2009,458.70
11/12/2009,444.20
14/12/2009,458.40
15/12/2009,459.40
16/12/2009,442.10
17/12/2009,434.90
18/12/2009,443.30
21/12/2009,461.00
22/12/2009,465.20
23/12/2009,470.80
24/12/2009,479.10
25/12/2009,495.10
28/12/2009,492.60
29/12/2009,484.50
30/12/2009,495.40
31/12/2009,494.80
04/01/2010,517.10
05/01/2010,532.50
06/01/2010,534.50
07/01/2010,533.30
08/01/2010,520.90
11/01/2010,515.10
12/01/2010,498.30
13/01/2010,508.60
14/01/2010,512.30
15/01/2010,505.40
18/01/2010,487.10
19/01/2010,495.50
20/01/2010,489.50
21/01/2010,478.40
22/01/2010,477.60
25/01/2010,480.90
26/01/2010,497.90
27/01/2010,486.40
28/01/2010,481.80
29/01/2010,482.00
01/02/2010,487.00
02/02/2010,487.90
03/02/2010,495.50
04/02/2010,503.80
05/02/2010,493.00
08/02/2010,491.20
09/02/2010,482.90
10/02/2010,490.90
11/02/2010,499.90
12/02/2010,507.00
22/02/2010,510.00
23/02/2010,496.30
24/02/2010,494.60
25/02/2010,495.00
26/02/2010,496.90
01/03/2010,503.00
02/03/2010,501.00
03/03/2010,507.30
04/03/2010,511.90
05/03/2010,513.40
08/03/2010,521.10
09/03/2010,527.30
10/03/2010,525.70
11/03/2010,524.60
12/03/2010,531.50
15/03/2010,531.90
16/03/2010,516.10
17/03/2010,510.90
18/03/2010,519.70
19/03/2010,516.00
22/03/2010,511.60
23/03/2010,506.50
24/03/2010,512.10
25/03/2010,503.40
26/03/2010,505.30
29/03/2010,505.70
30/03/2010,500.70
31/03/2010,499.20
01/04/2010,508.20
02/04/2010,510.50
05/04/2010,514.80
06/04/2010,515.30
07/04/2010,515.80
08/04/2010,515.90
09/04/2010,517.40
12/04/2010,519.90
13/04/2010,518.00
14/04/2010,516.20
